timestamp,left_ear,right_ear,avg_ear,left_gaze,right_gaze,avg_gaze,label
1772400379.275,0.302,0.31,0.306,0.471,0.527,0.499,on
1772400381.338,0.305,0.287,0.296,0.428,0.475,0.451,on
1772400382.004,0.313,0.293,0.303,0.423,0.475,0.449,on
1772400383.27,0.323,0.301,0.312,0.471,0.53,0.501,on
1772400383.869,0.302,0.281,0.291,0.469,0.533,0.501,on
1772400385.169,0.318,0.294,0.306,0.507,0.561,0.534,on
1772400385.703,0.301,0.3,0.3,0.509,0.568,0.539,on
1772400386.902,0.302,0.296,0.299,0.465,0.517,0.491,on
1772400387.501,0.293,0.285,0.289,0.457,0.527,0.492,on
1772400388.535,0.319,0.298,0.309,0.454,0.521,0.488,on
1772400389.401,0.318,0.313,0.316,0.463,0.524,0.494,on
1772400390.034,0.338,0.323,0.331,0.419,0.477,0.448,on
1772400390.634,0.336,0.316,0.326,0.44,0.488,0.464,on
1772400391.3,0.287,0.259,0.273,0.418,0.494,0.456,on
1772400391.933,0.306,0.294,0.3,0.499,0.567,0.533,on
1772400392.533,0.313,0.285,0.299,0.517,0.581,0.549,on
1772400393.167,0.301,0.279,0.29,0.491,0.561,0.526,on
1772400393.766,0.317,0.28,0.299,0.452,0.537,0.495,on
1772400394.233,0.324,0.303,0.314,0.473,0.538,0.506,on
1772400396.898,0.35,0.332,0.341,0.289,0.331,0.31,away
1772400397.631,0.35,0.342,0.346,0.3,0.351,0.326,away
1772400398.331,0.359,0.323,0.341,0.447,0.484,0.466,away
1772400398.964,0.352,0.325,0.339,0.505,0.557,0.531,away
1772400399.663,0.37,0.358,0.364,0.685,0.686,0.685,away
1772400400.33,0.314,0.328,0.321,0.67,0.685,0.677,away
1772400401.396,0.317,0.326,0.322,0.704,0.737,0.72,away
1772400402.196,0.207,0.256,0.232,0.607,0.71,0.658,away
1772400402.829,0.186,0.164,0.175,0.458,0.49,0.474,away
1772400404.695,0.204,0.188,0.196,0.475,0.53,0.503,away
1772400405.561,0.24,0.168,0.204,0.359,0.403,0.381,away
1772400406.128,0.315,0.312,0.314,0.281,0.335,0.308,away
1772400406.427,0.319,0.317,0.318,0.367,0.446,0.407,away
1772400406.761,0.34,0.346,0.343,0.696,0.682,0.689,away
1772400407.06,0.287,0.301,0.294,0.685,0.716,0.701,away
1772400407.36,0.2,0.236,0.218,0.621,0.681,0.651,away
1772400407.66,0.202,0.163,0.183,0.452,0.472,0.462,away
1772400407.96,0.214,0.173,0.193,0.431,0.475,0.453,away
1772400408.26,0.277,0.262,0.269,0.262,0.323,0.293,away
1772400408.56,0.314,0.286,0.3,0.38,0.448,0.414,away
1772400412.792,0.083,0.102,0.092,0.47,0.485,0.478,closed
1772400413.192,0.081,0.102,0.091,0.479,0.514,0.496,closed
1772400413.591,0.065,0.081,0.073,0.5,0.5,0.5,closed
1772400413.991,0.055,0.088,0.072,0.47,0.52,0.495,closed
1772400414.391,0.056,0.081,0.069,0.489,0.532,0.51,closed
1772400415.157,0.075,0.106,0.09,0.501,0.51,0.506,closed
1772400415.49,0.072,0.108,0.09,0.506,0.529,0.517,closed
1772400418.723,0.359,0.331,0.345,0.287,0.32,0.304,away
1772400419.056,0.345,0.326,0.336,0.291,0.327,0.309,away
1772400419.222,0.337,0.338,0.337,0.29,0.338,0.314,away
1772400419.888,0.339,0.316,0.328,0.319,0.389,0.354,away
1772400420.089,0.339,0.317,0.328,0.305,0.388,0.346,away
1772400420.288,0.334,0.307,0.321,0.455,0.525,0.49,away
1772400420.788,0.346,0.329,0.337,0.514,0.546,0.53,away
1772400420.988,0.346,0.329,0.338,0.499,0.53,0.515,away
1772400421.188,0.349,0.322,0.336,0.488,0.525,0.507,away
1772400421.723,0.345,0.335,0.34,0.668,0.683,0.676,away
1772400421.921,0.353,0.337,0.345,0.684,0.692,0.688,away
1772400422.154,0.35,0.334,0.342,0.647,0.673,0.66,away
1772400422.587,0.302,0.322,0.312,0.686,0.715,0.7,away
1772400422.788,0.313,0.325,0.319,0.673,0.684,0.679,away
1772400423.021,0.302,0.328,0.315,0.671,0.682,0.676,away
1772400424.587,0.311,0.391,0.351,0.655,0.737,0.696,away
1772400424.787,0.306,0.399,0.353,0.699,0.803,0.751,away
1772400424.986,0.33,0.393,0.362,0.668,0.746,0.707,away
1772400426.086,0.326,0.351,0.338,0.459,0.512,0.485,away
1772400427.219,0.4,0.334,0.367,0.265,0.255,0.26,away
1772400428.252,0.15,0.144,0.147,0.508,0.522,0.515,away
1772400429.185,0.233,0.146,0.189,0.379,0.445,0.412,away
1772400430.151,0.222,0.218,0.22,0.522,0.561,0.542,away
1772400431.051,0.383,0.542,0.463,0.731,0.786,0.759,away
1772400431.95,0.424,0.372,0.398,0.432,0.391,0.412,away
1772401600.693,0.202,0.17,0.186,0.457,0.476,0.467,away
1772401601.321,0.208,0.17,0.189,0.461,0.481,0.471,away
1772401601.687,0.189,0.13,0.159,0.459,0.488,0.473,away
1772401602.054,0.171,0.143,0.157,0.467,0.494,0.481,away
1772401602.254,0.212,0.136,0.174,0.448,0.476,0.462,away
1772401602.555,0.19,0.117,0.153,0.443,0.466,0.454,away
1772401603.454,0.178,0.171,0.174,0.56,0.6,0.58,away
1772401604.62,0.215,0.186,0.2,0.476,0.513,0.494,away
1772401605.653,0.164,0.159,0.162,0.489,0.52,0.504,away
1772401607.485,0.202,0.17,0.186,0.48,0.523,0.501,away
1772401609.685,0.116,0.104,0.11,0.493,0.5,0.496,away
1772401611.217,0.139,0.109,0.124,0.465,0.487,0.476,away
1772401612.383,0.182,0.142,0.162,0.374,0.422,0.398,away
1772401613.25,0.144,0.135,0.14,0.564,0.584,0.574,away
