timestamp,shoulder_deg,head_deg,neck_deg,label
1772400015.532,1.856,7.32,1.403,good
1772400021.526,0.453,15.276,2.313,good
1772400023.492,9.927,16.098,4.344,good
1772400025.458,4.057,9.158,1.161,good
1772400029.823,1.45,4.932,4.48,good
1772400031.855,3.703,10.068,6.132,good
1772400033.888,5.803,25.299,6.197,good
1772400037.453,1.482,10.463,1.604,good
1772400040.02,4.65,15.265,0.714,good
1772400041.685,3.945,1.804,4.961,good
1772400043.318,9.92,24.14,5.198,good
1772400045.216,1.096,11.19,2.723,good
1772400049.182,11.093,36.534,22.112,bad
1772400050.881,15.222,43.001,18.956,bad
1772400052.647,13.979,35.83,26.66,bad
1772400055.146,10.549,26.774,35.055,bad
1772400057.445,56.398,65.164,37.07,bad
1772400058.945,67.954,75.228,51.778,bad
1772400060.611,33.249,49.256,20.939,bad
1772400062.943,16.378,6.138,14.13,bad
1772400065.075,26.835,63.523,39.028,bad
1772400066.908,24.837,50.089,31.268,bad
1772400068.674,19.409,56.474,45.462,bad
1772400070.64,15.0,43.113,39.498,bad
1772400072.406,12.106,42.345,39.196,bad
1772400075.771,6.183,19.152,3.778,bad
1772400081.236,2.163,0.682,2.218,bad
1772400087.5,25.289,63.51,39.66,bad
